BFS;FREQUENCY;SUM_Shape_Length
2216;6;1807.122899
2220;82;7734.512211
2226;44;6423.399727
2228;45;4948.128079
2230;1;93.549629
2233;75;5830.318498
2235;30;2952.016607
2236;130;13371.58376
2237;40;5142.999107
2238;16;1523.706115
2250;6;1434.883594
2254;41;7872.901568
2257;26;3228.758362
2261;4;379.967903
2262;86;7376.744264
2265;96;8716.792193
2266;37;3762.445787
2274;41;3327.176898
2275;106;10258.20271
2276;7;1019.893387
2284;88;12758.75505
2292;25;2840.312021
2293;62;8497.225936
2295;40;6153.595569
2296;63;7259.285369
2299;75;8733.42201
2300;49;4094.613227
2301;44;4392.079277
