GMDNR,GMDNAME_x,Stimmberechtigte,Abgegebene Stimmen,Beteiligung in %,Gültige Stimmzettel,Ja,Nein,Ja in %,GMDNAME_y,BZNR,KTNR,geometry
51,Bachenbülach,2503,858,34.28,845,607,238,71.83,Bachenbülach,103,1,"POLYGON ((2682972 1260247, 2682691 1260183, 2682105 1260592, 2682159 1261104, 2681699 1261323, 2681652 1261498, 2683710 1262758, 2684175 1263247, 2684312 1263295, 2684336 1263007, 2684630 1262812, 2684955 1262877, 2685060 1262575, 2684610 1262608, 2684980 1261849, 2684760 1261923, 2684466 1261469, 2683715 1261311, 2683496 1261441, 2682888 1260917, 2682820 1261038, 2682972 1260247))"
52,Bassersdorf,7082,2490,35.16,2473,1771,702,71.61,Bassersdorf,103,1,"POLYGON ((2692026 1254577, 2692160 1254334, 2691888 1254313, 2691822 1253694, 2692260 1253177, 2692052 1252826, 2691408 1252928, 2691292.4924999997 1253267.8737999983, 2690844 1253493, 2690126 1253616, 2690051 1254018, 2689752 1253884, 2689619 1254444, 2689369 1254361, 2689224 1254510, 2689022 1254259, 2688422 1254372, 2687819 1254894, 2688140 1255605, 2688044 1256355, 2688497 1256968, 2688649 1256851, 2688932 1257240, 2689510 1257060, 2689999 1256499, 2690392 1256385, 2690290 1256246, 2690586 1255679, 2690711 1255729, 2691317 1254847, 2692026 1254577))"
53,Bülach,11980,4192,34.99,4164,3004,1160,72.14,Bülach,103,1,"POLYGON ((2685617 1263707, 2685462 1263645, 2685620 1263042, 2685267 1262707, 2685110 1262935, 2684955 1262877, 2684630 1262812, 2684336 1263007, 2684312 1263295, 2684175 1263247, 2683710 1262758, 2681652 1261498, 2681318 1261649, 2681392 1261972, 2681100 1262272, 2681603 1262588, 2681416 1263006, 2681914 1263847, 2681749 1264119, 2681321 1264256, 2681665 1265525, 2681516 1266140, 2681179 1266520, 2681494.467500001 1266614.4538000003, 2681656 1267110, 2682089 1267010, 2681945 1268355, 2682490 1268285, 2683722 1267225, 2683802 1266151, 2684140 1265967, 2684677 1265077, 2684569 1264392, 2684852 1264090, 2685295 1264130, 2685617 1263707))"
54,Dietlikon,4766,1800,37.77,1788,1278,510,71.48,Dietlikon,103,1,"POLYGON ((2689083 1251384, 2688491 1252624, 2688319 1252540, 2687860 1253234, 2688063 1253507, 2687707 1253966, 2687727 1254470, 2687327 1254559, 2687390 1254852, 2687656 1254725, 2687819 1254894, 2688422 1254372, 2689022 1254259, 2689224 1254510, 2689369 1254361, 2689619 1254444, 2689752 1253884, 2689485 1253777, 2689300 1253265, 2689831 1251527, 2689427 1251304, 2689083 1251384))"
55,Eglisau,3191,1435,44.97,1424,1082,342,75.98,Eglisau,103,1,"POLYGON ((2683722 1267225, 2682490 1268285, 2681945 1268355, 2681481 1268285, 2681561 1268044, 2681417 1268060, 2681198 1268411, 2681280 1268922, 2681120 1269379, 2680732 1269460, 2680725 1269247, 2680175 1269598, 2679801 1269478, 2679834 1269943, 2678402 1269856, 2678631 1270139, 2678869 1270195, 2678937 1270065, 2679970 1270185, 2680022 1270480, 2679842 1270555, 2681087 1270675, 2681205 1271077, 2680870 1271584, 2680974 1271970, 2681801 1272011, 2682467 1271338, 2683157 1271954, 2683300 1272075, 2683412 1271927, 2683252 1271840, 2682700 1271380, 2682497 1271291, 2682629 1270874, 2682414 1270814, 2682441 1270626, 2682872 1270318, 2682479 1269990, 2683355 1269828, 2683340 1269544, 2682994 1269385, 2683455 1268875, 2684005 1267497, 2683972 1267258, 2683722 1267225))"
56,Embrach,5492,1884,34.3,1854,1210,644,65.26,Embrach,103,1,"POLYGON ((2687635 1260871, 2687557 1261037, 2686985 1260985, 2686617 1261286, 2686350 1260791, 2686062 1260642, 2685535 1260731, 2685449 1261152, 2685076 1261402, 2685357 1261773, 2685233 1262030, 2685417 1262405, 2685267 1262707, 2685620 1263042, 2685462 1263645, 2685617 1263707, 2686069 1263885, 2686105 1264532, 2686412 1264477, 2686465 1264802, 2686746.3662 1264945.5599999987, 2687135 1264325, 2687375 1264385, 2687665 1264085, 2687930 1264262, 2688272 1264165, 2688438 1264316, 2688815 1264087, 2689371 1263747, 2688945 1263260, 2689560 1262887, 2689727 1262414, 2689655 1261627, 2689300 1261735, 2689177 1261527, 2688765 1261562, 2688502 1261252, 2687635 1260871))"
57,Freienstein-Teufen,1681,782,46.52,776,509,267,65.59,Freienstein-Teufen,103,1,"POLYGON ((2684005 1267497, 2684325 1267505, 2684676 1268030, 2684965 1268595, 2685787 1268227, 2685770 1267747, 2686452 1267809, 2687221 1266945, 2687518 1266236, 2687411 1266089, 2688087 1265960, 2688375 1265615, 2688026 1264753, 2688290 1264640, 2687930 1264262, 2687665 1264085, 2687375 1264385, 2687135 1264325, 2686746.3662 1264945.5599999987, 2686465 1264802, 2685966 1265033, 2686035 1265552, 2685226 1266630, 2684713 1266477, 2684615 1266915, 2683972 1267258, 2684005 1267497))"
58,Glattfelden,3124,1114,35.66,1102,634,468,57.53,Glattfelden,103,1,"MULTIPOLYGON (((2678631 1270139, 2678402 1269856, 2679834 1269943, 2679801 1269478, 2680175 1269598, 2680725 1269247, 2680732 1269460, 2681120 1269379, 2681280 1268922, 2681198 1268411, 2681417 1268060, 2681561 1268044, 2681481 1268285, 2681945 1268355, 2682089 1267010, 2681656 1267110, 2681494.467500001 1266614.4538000003, 2681179 1266520, 2680640 1266378, 2680190 1265817, 2679920 1266340, 2679200 1267164, 2677836 1267805, 2677709 1268202, 2676913 1267733, 2676578 1268000, 2677177 1268330, 2677521 1268769, 2677161.6887999997 1269560.2688000016, 2678109.4750000015 1270200.8949999996, 2678631 1270139)), ((2679970 1270185, 2678937 1270065, 2678869 1270195, 2679437 1270590, 2679842 1270555, 2680022 1270480, 2679970 1270185)))"
59,Hochfelden,1322,539,40.77,529,335,194,63.33,Hochfelden,103,1,"POLYGON ((2679478 1263881, 2679232 1264729, 2679222 1264960, 2679697 1265497, 2679542 1266110, 2679920 1266340, 2680190 1265817, 2680640 1266378, 2681179 1266520, 2681516 1266140, 2681665 1265525, 2681321 1264256, 2681749 1264119, 2681914 1263847, 2681416 1263006, 2681325 1263165, 2680475 1263064, 2680402 1263617, 2680264 1263538, 2680142 1263742, 2679902 1263583, 2679624 1263933, 2679478 1263881))"
60,Höri,1530,471,30.78,469,267,202,56.93,Höri,103,1,"POLYGON ((2679478 1263881, 2679624 1263933, 2679902 1263583, 2680142 1263742, 2680264 1263538, 2680402 1263617, 2680475 1263064, 2681325 1263165, 2681416 1263006, 2681603 1262588, 2681100 1262272, 2681392 1261972, 2681318 1261649, 2681652 1261498, 2681699 1261323, 2681418 1261123, 2681227 1261000, 2680768 1261695, 2680280 1261546, 2679654 1261587, 2679662 1261736, 2679013 1261314, 2678525 1262332, 2679132 1262640, 2679150 1263185, 2679478 1263881))"
61,Hüntwangen,717,309,43.1,308,205,103,66.56,Hüntwangen,103,1,"POLYGON ((2678861.5599999987 1271266.4574999996, 2678267 1272512, 2678666 1273207, 2678997 1273107, 2679451 1273318, 2679464 1272876, 2679722 1272485, 2680841 1272255, 2680974 1271970, 2680870 1271584, 2681205 1271077, 2681087 1270675, 2679842 1270555, 2679437 1270590, 2678981.657499999 1271323.3299999982, 2678861.5599999987 1271266.4574999996))"
62,Kloten,10820,3107,28.72,3085,2009,1076,65.12,Kloten,103,1,"POLYGON ((2688337 1259608, 2688355 1259437, 2688830 1259331, 2688845 1258642, 2689436 1258843, 2689540 1257961, 2690010 1257735, 2689510 1257060, 2688932 1257240, 2688649 1256851, 2688497 1256968, 2688044 1256355, 2688140 1255605, 2687819 1254894, 2687656 1254725, 2687390 1254852, 2687327 1254559, 2687051 1254557, 2686642 1254859, 2685595 1255044, 2685408 1254910, 2685475 1255242, 2684790 1254891, 2684370 1255169, 2684180 1254995, 2683497 1255773, 2683710 1256426, 2683443 1256612, 2684125 1257916, 2684305 1257722, 2684867 1258257, 2684440 1258854, 2685060 1258582, 2685170 1258738, 2685620 1258700, 2685747 1259360, 2685985 1259435, 2687020 1258718, 2687360 1258001, 2687632 1258312, 2687723 1258124, 2687782 1258445, 2688032 1258465, 2687857 1259035, 2688337 1259608))"
63,Lufingen,1481,568,38.35,565,347,218,61.42,Lufingen,103,1,"POLYGON ((2688337 1259608, 2687857 1259035, 2688032 1258465, 2687782 1258445, 2687723 1258124, 2687632 1258312, 2687360 1258001, 2687020 1258718, 2685985 1259435, 2685410 1260411, 2685535 1260731, 2686062 1260642, 2686350 1260791, 2686617 1261286, 2686985 1260985, 2687557 1261037, 2687635 1260871, 2688140 1260507, 2688012 1260317, 2688405 1259858, 2688337 1259608))"
64,Nürensdorf,3880,1683,43.38,1669,1027,642,61.53,Nürensdorf,103,1,"POLYGON ((2693077 1257380, 2693508 1256534, 2692980 1256065, 2692343 1255941, 2692373 1255309, 2692183 1255254, 2692192 1254702, 2692026 1254577, 2691317 1254847, 2690711 1255729, 2690586 1255679, 2690290 1256246, 2690392 1256385, 2689999 1256499, 2689510 1257060, 2690010 1257735, 2689540 1257961, 2689436 1258843, 2689581 1259133, 2690175 1259370, 2690527 1258638, 2690873 1258673, 2691162 1258458, 2691493 1258579, 2692538 1257531, 2692765 1257649, 2693077 1257380))"
65,Oberembrach,806,402,49.88,397,211,186,53.15,Oberembrach,103,1,"POLYGON ((2691493 1258579, 2691162 1258458, 2690873 1258673, 2690527 1258638, 2690175 1259370, 2689581 1259133, 2689436 1258843, 2688845 1258642, 2688830 1259331, 2688355 1259437, 2688337 1259608, 2688405 1259858, 2688012 1260317, 2688140 1260507, 2687635 1260871, 2688502 1261252, 2688765 1261562, 2689177 1261527, 2689300 1261735, 2689655 1261627, 2689727 1262414, 2689900 1262330, 2689905 1262572, 2690187 1262662, 2690379 1261827, 2691115 1261662, 2691507 1261830, 2691715 1261722, 2691697 1261471, 2691900 1261460, 2692104 1260623, 2691411 1260031, 2691691 1259698, 2691499 1259555, 2691736 1258932, 2691493 1258579))"
66,Opfikon,8992,2359,26.23,2343,1525,818,65.09,Opfikon,103,1,"POLYGON ((2684249 1253920, 2684511 1254371, 2684180 1254995, 2684370 1255169, 2684790 1254891, 2685475 1255242, 2685408 1254910, 2685595 1255044, 2686642 1254859, 2687051 1254557, 2686964 1253881, 2687149 1253765, 2686675 1253467, 2686776 1253224, 2685795 1253128, 2685594 1253000, 2685609 1252709, 2685291 1252673, 2685195 1252365, 2684873 1252257, 2684208 1252829, 2684416 1253153, 2684249 1253920))"
67,Rafz,2863,1248,43.59,1234,803,431,65.07,Rafz,103,1,"POLYGON ((2681007.611299999 1276254.6612000018, 2680935.727499999 1276472.7437999994, 2681331.9725 1276539.8575000018, 2681705.013700001 1276244.1000000015, 2682637.335000001 1276187.0324999988, 2682678.1512 1275626.6975000016, 2683014.0500000007 1275727.3838, 2683098.84 1275535.8638000004, 2684092.2225 1275476.272500001, 2684515.2562000006 1274615.548799999, 2685002.6711999997 1274678.3762999997, 2685141.215 1274149.0474999994, 2685395.5874999985 1274090.3949999996, 2684797.2749999985 1273853.0199999996, 2684778.638700001 1273352.3412999995, 2684439.9037000015 1272903.5650000013, 2684545.8775000013 1272688.2950000018, 2684100 1272453, 2684061 1272093, 2683412 1271927, 2683300 1272075, 2683157 1271954, 2681895 1273195, 2681433 1274296, 2681588 1275423, 2681007.611299999 1276254.6612000018))"
68,Rorbas,1612,530,32.88,522,330,192,63.22,Rorbas,103,1,"POLYGON ((2685617 1263707, 2685295 1264130, 2684852 1264090, 2684569 1264392, 2684677 1265077, 2684140 1265967, 2683802 1266151, 2683722 1267225, 2683972 1267258, 2684615 1266915, 2684713 1266477, 2685226 1266630, 2686035 1265552, 2685966 1265033, 2686465 1264802, 2686412 1264477, 2686105 1264532, 2686069 1263885, 2685617 1263707))"
69,Wallisellen,9158,3392,37.04,3373,2357,1016,69.88,Wallisellen,103,1,"POLYGON ((2689083 1251384, 2688772 1251470, 2688508 1251210, 2688343 1251333, 2688101 1251165, 2688144 1250999, 2687386 1251176, 2685526 1251891, 2685609 1252709, 2685594 1253000, 2685795 1253128, 2686776 1253224, 2686675 1253467, 2687149 1253765, 2686964 1253881, 2687051 1254557, 2687327 1254559, 2687727 1254470, 2687707 1253966, 2688063 1253507, 2687860 1253234, 2688319 1252540, 2688491 1252624, 2689083 1251384))"
70,Wasterkingen,411,170,41.36,170,120,50,70.59,Wasterkingen,103,1,"POLYGON ((2678861.5599999987 1271266.4574999996, 2677497.2386999987 1270869.8638000004, 2677190.896299999 1271320.3225000016, 2676859.8937 1271345.8599999994, 2676914.4875000007 1271821.004999999, 2676593.3088000007 1272340.9125000015, 2676552.3412000015 1272904.2199999988, 2677415.91 1273060.379999999, 2677657.1000000015 1273423.2261999995, 2677572.0075000003 1273597.7487999983, 2677927.3150000013 1273516.25, 2678135.142499998 1273856.326299999, 2678666 1273207, 2678267 1272512, 2678861.5599999987 1271266.4574999996))"
71,Wil (ZH),1013,461,45.51,456,314,142,68.86,Wil (ZH),103,1,"POLYGON ((2678539.048700001 1274185.1174999997, 2679338.7650000006 1274288.7263000011, 2680413.392499998 1274640.495000001, 2680332.717500001 1275344.192499999, 2680907.5612000003 1275298.6174999997, 2680728.5912999995 1275543.3112999983, 2681007.611299999 1276254.6612000018, 2681588 1275423, 2681433 1274296, 2681895 1273195, 2683157 1271954, 2682467 1271338, 2681801 1272011, 2680974 1271970, 2680841 1272255, 2679722 1272485, 2679464 1272876, 2679451 1273318, 2678997 1273107, 2678666 1273207, 2678135.142499998 1273856.326299999, 2678228.3013000004 1274350.4587000012, 2678539.048700001 1274185.1174999997))"
72,Winkel,3243,1410,43.48,1399,865,534,61.83,Winkel,103,1,"POLYGON ((2684125 1257916, 2683890 1258166, 2683258 1258825, 2683493 1259047, 2682972 1260247, 2682820 1261038, 2682888 1260917, 2683496 1261441, 2683715 1261311, 2684466 1261469, 2684760 1261923, 2684980 1261849, 2684610 1262608, 2685060 1262575, 2684955 1262877, 2685110 1262935, 2685267 1262707, 2685417 1262405, 2685233 1262030, 2685357 1261773, 2685076 1261402, 2685449 1261152, 2685535 1260731, 2685410 1260411, 2685985 1259435, 2685747 1259360, 2685620 1258700, 2685170 1258738, 2685060 1258582, 2684440 1258854, 2684867 1258257, 2684305 1257722, 2684125 1257916))"
81,Bachs,425,204,48,199,120,79,60.3,Bachs,104,1,"POLYGON ((2674147 1263504, 2673807 1264057, 2673128 1264624, 2672897 1264521, 2672463 1264732, 2672595 1265178, 2672723 1265327, 2672462 1265924, 2672713 1265727, 2672762 1266129, 2673228 1266619, 2673694 1266568, 2674022 1266623, 2675013 1265618, 2675262 1265825, 2675427 1265752, 2675392 1265552, 2675795 1265405, 2675637 1265230, 2676330 1264357, 2676402 1263695, 2676832 1263562, 2677040 1263227, 2676528 1262759, 2676065 1262851, 2675933 1263203, 2675524 1263192, 2675445 1262894, 2675235 1263048, 2674655 1262835, 2674147 1263504))"
82,Boppelsen,939,418,44.52,415,262,153,63.13,Boppelsen,104,1,"POLYGON ((2673876.7525000013 1256786.629999999, 2673197 1257451, 2672886 1257328, 2672829 1257544, 2672548 1257479, 2672636 1257741, 2672226 1257745, 2672015 1258166, 2671672 1258220, 2671810 1258652, 2672119 1258888, 2672141 1259054, 2671833 1259136, 2671957 1259442, 2672777 1259495, 2673630 1259375, 2673870 1258757, 2673659 1258370, 2674019 1258362, 2674018 1258177, 2673876.7525000013 1256786.629999999))"
83,Buchs (ZH),3795,1138,29.99,1126,693,433,61.55,Buchs (ZH),104,1,"POLYGON ((2673991 1255896, 2673794 1255998, 2673975 1256175, 2673554 1256368, 2673704 1256695, 2673474 1256732, 2673876.7525000013 1256786.629999999, 2674018 1258177, 2674491 1258032, 2675923 1257815, 2676408 1257949, 2676544 1257524, 2676905 1257779, 2676943 1257257, 2677171 1257285, 2677300 1256978, 2676739 1256696, 2676709 1256344, 2676184 1256437, 2676198 1256208, 2675821 1256068, 2675850 1255705, 2675582 1255737, 2673991 1255896))"
84,Dällikon,2380,761,31.97,757,447,310,59.05,Dällikon,104,1,"POLYGON ((2673991 1255896, 2675582 1255737, 2675672 1255187, 2675982 1255132, 2675955 1254931, 2676432 1254568, 2675900 1253535, 2673894 1254177, 2673732 1254214, 2673854 1254553, 2673647 1254644, 2673659 1255399, 2673972 1255478, 2673991 1255896))"
85,Dänikon,1107,436,39.39,436,266,170,61.01,Dänikon,104,1,"POLYGON ((2671715 1255988, 2672633 1256173, 2673794 1255998, 2673991 1255896, 2673972 1255478, 2673659 1255399, 2673647 1254644, 2673854 1254553, 2673732 1254214, 2672791 1254452, 2672410 1254835, 2672134 1254786, 2671996 1255281, 2672184 1255415, 2671948 1255382, 2671901 1255967, 2671715 1255988))"
86,Dielsdorf,3371,1083,32.13,1070,694,376,64.86,Dielsdorf,104,1,"POLYGON ((2677171 1257285, 2676943 1257257, 2676905 1257779, 2676544 1257524, 2676408 1257949, 2675923 1257815, 2674491 1258032, 2674432 1258180, 2674760 1258385, 2675010 1258892, 2675300 1259016, 2675395 1258636, 2675585 1259282, 2675897 1259291, 2676000 1259770, 2676697 1260300, 2678167 1260369, 2677772 1259245, 2677848 1258629, 2677571 1258624, 2677171 1257285))"
87,Hüttikon,585,221,37.78,220,133,87,60.45,Hüttikon,104,1,"POLYGON ((2671715 1255988, 2671901 1255967, 2671948 1255382, 2672184 1255415, 2671996 1255281, 2672134 1254786, 2672410 1254835, 2672791 1254452, 2672607 1254517, 2672408 1254208, 2671311 1254223, 2671069 1255509, 2671133 1255726, 2671508 1255837, 2671715 1255988))"
88,Neerach,2344,962,41.04,947,588,359,62.09,Neerach,104,1,"POLYGON ((2679478 1263881, 2679150 1263185, 2679132 1262640, 2678525 1262332, 2679013 1261314, 2678607 1261184, 2678306 1260814, 2677297 1260916, 2677172 1261053, 2677467 1261219, 2677300 1262090, 2677055 1262165, 2677003 1262032, 2676827 1262276, 2676922 1262522, 2676500 1262525, 2676528 1262759, 2677040 1263227, 2677477 1263688, 2677455 1263901, 2679087 1264125, 2679232 1264729, 2679478 1263881))"
89,Niederglatt,2993,980,32.74,974,602,372,61.81,Niederglatt,104,1,"POLYGON ((2678166.692499999 1260573.7624999993, 2678306 1260814, 2678607 1261184, 2679013 1261314, 2679662 1261736, 2679654 1261587, 2680280 1261546, 2680768 1261695, 2681227 1261000, 2681418 1261123, 2681572 1260862, 2680879 1260516, 2680565 1259945, 2680052 1259642, 2679858 1259602, 2679676 1260261, 2679333 1260206, 2678969 1260723, 2678537 1260417, 2678602 1260199, 2678410 1260194, 2678166.692499999 1260573.7624999993))"
90,Niederhasli,5488,1777,32.38,1763,1143,620,64.83,Niederhasli,104,1,"POLYGON ((2678166.692499999 1260573.7624999993, 2678410 1260194, 2678602 1260199, 2678537 1260417, 2678969 1260723, 2679333 1260206, 2679676 1260261, 2679858 1259602, 2680052 1259642, 2679874 1259193, 2680389 1258748, 2680672 1257872, 2680903 1257924, 2681069 1257610, 2681435 1257801, 2681345 1258089, 2681724 1258371, 2681843 1257597, 2681213 1257381, 2681237 1257019, 2680792 1256984, 2680893 1256306, 2680284 1256018, 2680091.0612000003 1255509.5562999994, 2679633 1255758, 2679567 1256468, 2679310 1256683, 2678989 1256395, 2678633 1257101, 2677977 1257247, 2677300 1256978, 2677171 1257285, 2677571 1258624, 2677848 1258629, 2677772 1259245, 2678167 1260369, 2678166.692499999 1260573.7624999993))"
91,Niederweningen,2031,926,45.59,915,637,278,69.62,Niederweningen,104,1,"POLYGON ((2669491 1262577, 2670688 1262831, 2670937 1263228, 2671001 1264229, 2671393 1264666, 2671790 1264258, 2671606 1262741, 2671799 1262218, 2671390 1262243, 2671541 1262012, 2671235 1261349, 2670982 1261341, 2671192 1261063, 2670818 1260859, 2671021 1260444, 2670633 1260018, 2670821 1259401, 2670448 1259377, 2669716 1259307, 2669635 1260395, 2669302 1261150, 2669659 1261571, 2669357 1261535, 2669255 1261707, 2669491 1262577))"
92,Oberglatt,3503,997,28.46,988,653,335,66.09,Oberglatt,104,1,"POLYGON ((2681418 1261123, 2681699 1261323, 2682159 1261104, 2682105 1260592, 2682691 1260183, 2682972 1260247, 2683493 1259047, 2683258 1258825, 2683890 1258166, 2683047 1257812, 2682896 1258126, 2682749 1258082, 2682544 1257436, 2682425 1257722, 2681843 1257597, 2681724 1258371, 2681345 1258089, 2681435 1257801, 2681069 1257610, 2680903 1257924, 2680672 1257872, 2680389 1258748, 2679874 1259193, 2680052 1259642, 2680565 1259945, 2680879 1260516, 2681572 1260862, 2681418 1261123))"
93,Oberweningen,1182,542,45.85,534,354,180,66.29,Oberweningen,104,1,"POLYGON ((2673280 1259532, 2672912 1259514, 2672669 1259940, 2672375 1259884, 2672605 1260475, 2672443 1261075, 2672719 1261308, 2672517 1261379, 2672522 1262101, 2672341 1262139, 2672581 1262765, 2672235 1264140, 2671896 1264324, 2672073 1264552, 2672063 1265037, 2672595 1265178, 2672463 1264732, 2672897 1264521, 2673128 1264624, 2673807 1264057, 2673573 1264158, 2673528 1263917, 2673004 1264118, 2673476 1263148, 2673346 1262387, 2673032 1262440, 2673075 1262197, 2673446 1262091, 2673158 1261135, 2673495 1261066, 2673279 1260652, 2673476 1260589, 2673425 1260118, 2673273 1260094, 2673482 1259907, 2673280 1259532))"
94,Otelfingen,1787,711,39.79,706,466,240,66.01,Otelfingen,104,1,"POLYGON ((2673794 1255998, 2672633 1256173, 2671715 1255988, 2671508 1255837, 2671211 1256583, 2670998 1256583, 2670902 1256893, 2670441 1256859, 2670182 1257595, 2669901 1257685, 2670052 1258141, 2670610 1258236, 2670448 1259377, 2670821 1259401, 2671957 1259442, 2671833 1259136, 2672141 1259054, 2672119 1258888, 2671810 1258652, 2671672 1258220, 2672015 1258166, 2672226 1257745, 2672636 1257741, 2672548 1257479, 2672829 1257544, 2672886 1257328, 2673197 1257451, 2673876.7525000013 1256786.629999999, 2673474 1256732, 2673704 1256695, 2673554 1256368, 2673975 1256175, 2673794 1255998))"
95,Regensberg,323,158,48.92,158,121,37,76.58,Regensberg,104,1,"POLYGON ((2672777 1259495, 2672912 1259514, 2673280 1259532, 2675100 1259613, 2675904 1259895, 2676000 1259770, 2675897 1259291, 2675585 1259282, 2675395 1258636, 2675300 1259016, 2675010 1258892, 2674760 1258385, 2674432 1258180, 2674491 1258032, 2674018 1258177, 2674019 1258362, 2673659 1258370, 2673870 1258757, 2673630 1259375, 2672777 1259495))"
96,Regensdorf,9714,3010,30.99,2991,1823,1168,60.95,Regensdorf,104,1,"POLYGON ((2675582 1255737, 2675850 1255705, 2675821 1256068, 2676198 1256208, 2676184 1256437, 2676709 1256344, 2676739 1256696, 2677300 1256978, 2677977 1257247, 2678633 1257101, 2678989 1256395, 2679310 1256683, 2679567 1256468, 2679633 1255758, 2680091.0612000003 1255509.5562999994, 2680281 1254830, 2680179 1254329, 2678978 1253886, 2678928 1253567, 2679338 1253241, 2679350 1252920, 2678710 1252990, 2678353 1252670, 2678190 1252781, 2677809 1252450, 2677262 1252510, 2676555 1252767, 2676337 1253308, 2675900 1253535, 2676432 1254568, 2675955 1254931, 2675982 1255132, 2675672 1255187, 2675582 1255737))"
97,Rümlang,4497,1397,31.07,1387,832,555,59.99,Rümlang,104,1,"POLYGON ((2684125 1257916, 2683443 1256612, 2683710 1256426, 2683497 1255773, 2684180 1254995, 2684511 1254371, 2684249 1253920, 2683273 1254215, 2683360 1253980, 2682017 1254155, 2681935 1253940, 2681259 1254177, 2680882 1254039, 2680179 1254329, 2680281 1254830, 2680091.0612000003 1255509.5562999994, 2680284 1256018, 2680893 1256306, 2680792 1256984, 2681237 1257019, 2681213 1257381, 2681843 1257597, 2682425 1257722, 2682544 1257436, 2682749 1258082, 2682896 1258126, 2683047 1257812, 2683890 1258166, 2684125 1257916))"
98,Schleinikon,547,245,44.79,242,157,85,64.88,Schleinikon,104,1,"POLYGON ((2672777 1259495, 2671957 1259442, 2670821 1259401, 2670633 1260018, 2671021 1260444, 2670818 1260859, 2671192 1261063, 2670982 1261341, 2671235 1261349, 2671541 1262012, 2671390 1262243, 2671799 1262218, 2671606 1262741, 2671790 1264258, 2671896 1264324, 2672235 1264140, 2672581 1262765, 2672341 1262139, 2672522 1262101, 2672517 1261379, 2672719 1261308, 2672443 1261075, 2672605 1260475, 2672375 1259884, 2672669 1259940, 2672912 1259514, 2672777 1259495))"
99,Schöfflisdorf,966,455,47.1,449,318,131,70.82,Schöfflisdorf,104,1,"POLYGON ((2674147 1263504, 2673982 1262691, 2674562 1262338, 2674678 1261475, 2674937 1261501, 2674537 1260822, 2674369 1260871, 2674257 1260352, 2673482 1259907, 2673273 1260094, 2673425 1260118, 2673476 1260589, 2673279 1260652, 2673495 1261066, 2673158 1261135, 2673446 1262091, 2673075 1262197, 2673032 1262440, 2673346 1262387, 2673476 1263148, 2673004 1264118, 2673528 1263917, 2673573 1264158, 2673807 1264057, 2674147 1263504))"
100,Stadel,1574,571,36.28,561,313,248,55.79,Stadel,104,1,"POLYGON ((2677040 1263227, 2676832 1263562, 2676402 1263695, 2676330 1264357, 2675637 1265230, 2675795 1265405, 2675392 1265552, 2675427 1265752, 2675853 1265814, 2675805 1266099, 2676138 1266341, 2675912 1266486, 2676204 1266504, 2676328 1266952, 2676552 1266973, 2676578 1268000, 2676913 1267733, 2677709 1268202, 2677836 1267805, 2679200 1267164, 2679920 1266340, 2679542 1266110, 2679697 1265497, 2679222 1264960, 2679232 1264729, 2679087 1264125, 2677455 1263901, 2677477 1263688, 2677040 1263227))"
101,Steinmaur,2163,832,38.47,828,511,317,61.71,Steinmaur,104,1,"POLYGON ((2678166.692499999 1260573.7624999993, 2678167 1260369, 2676697 1260300, 2676000 1259770, 2675904 1259895, 2675100 1259613, 2673280 1259532, 2673482 1259907, 2674257 1260352, 2674369 1260871, 2674537 1260822, 2674937 1261501, 2674678 1261475, 2674562 1262338, 2673982 1262691, 2674147 1263504, 2674655 1262835, 2675235 1263048, 2675445 1262894, 2675524 1263192, 2675933 1263203, 2676065 1262851, 2676528 1262759, 2676500 1262525, 2676922 1262522, 2676827 1262276, 2677003 1262032, 2677055 1262165, 2677300 1262090, 2677467 1261219, 2677172 1261053, 2677297 1260916, 2678306 1260814, 2678166.692499999 1260573.7624999993))"
102,Weiach,1094,326,29.8,325,174,151,53.54,Weiach,104,1,"POLYGON ((2673733 1268649, 2674332.7575000003 1269005.4037999995, 2675141.1162 1268965.9288000017, 2676542.4186999984 1269568.0538000017, 2677161.6887999997 1269560.2688000016, 2677521 1268769, 2677177 1268330, 2676578 1268000, 2676552 1266973, 2676328 1266952, 2676204 1266504, 2675912 1266486, 2676138 1266341, 2675805 1266099, 2675853 1265814, 2675427 1265752, 2675262 1265825, 2675013 1265618, 2674022 1266623, 2673694 1266568, 2673453 1267493, 2673733 1268649))"
